# Manufacturer-specific trouble codes.
#
# Generated by "cargo import" — do not edit by hand.
#
# J2012 reserves these ranges but not their meanings, so the same code means
# different things on different marques. Rows carry the make where the source
# named one; an empty make is a definition the source did not attribute, and is
# used only when nothing better matches.
#
# Records are sorted by code then make; internal/dtc verifies that on load.
#
# format: code,make,description
P1137,jaguar,Lack Of HO2S12 Switches Sensor Indicates Lean
P1137,lincoln,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 1
P1137,mazda,HO2S Bank 1 Sensor 2 Not Switching Fuel Control Limit Reached
P1137,mercury,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 1
P1137,oldsmobile,HO2S Bank 1 Sensor 2 Lean Or Low Voltage
P1137,saturn,HO2S Bank 1 Sensor 2 Lean Or Low Voltage
P1137,subaru,Front Oxygen AF Sensor Circuit Range Performance Problem
P1137,volkswagen,Long Term Fuel Trim Add Fuel Bank 1 System Too Rich
P1138,,Lack Of HO2S12 Switch - Sensor Indicates Rich
P1138,bmw,O2 Sensor Heater Circuit Low Voltage Bank 1 Sensor 2
P1138,buick,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,cadillac,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,chevy,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,chrysler,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,ford,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 1
P1138,gm,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,gmc,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,jaguar,Lack Of HO2S12 Switches Sensor Indicates Rich
P1138,lincoln,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 1
P1138,mazda,HO2S Bank 1 Sensor 2 Signal Above 0.45v AF Ratio Too Rich
P1138,mercury,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 1
P1138,oldsmobile,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,saturn,HO2S Bank 1 Sensor 2 Rich Or High Voltage
P1138,volkswagen,Long Term Fuel Trim Add Fuel Bank 2 System Too Lean
P1139,,Water In Fuel Indicator Circuit Malfunction
P1139,bmw,O2 Sensor Heater Circuit High Voltage Bank 1 Sensor 2
P1139,buick,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,cadillac,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,chevy,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,chrysler,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,gm,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,gmc,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,oldsmobile,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,saturn,HO2S Insufficient Switching Bank 1 Sensor 2
P1139,subaru,Front Oxygen AF Sensor #1 Heater Circuit Performance Range Problem
P1139,volkswagen,Long Term Fuel Trim Add Fuel Bank 2 System Too Rich
P1140,,Water In Fuel Condition
P1140,bmw,Mass Or Volume Air Flow Circuit Range Performance Problem
P1140,buick,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,cadillac,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,chevy,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,chrysler,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,gm,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,gmc,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,kia,Load Calculation Cross Check
P1140,nissan,Intake Valve Timing Control Position Sensor Bank 1
P1140,oldsmobile,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,saturn,HO2S Transition Time Ratio Bank 1 Sensor 2
P1140,volkswagen,Bank 2 Sensor 2 Resistance Too High
P1141,,Fuel Restriction Indicator Circuit Malfunction
P1141,buick,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,cadillac,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,chevy,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,chrysler,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,gm,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,gmc,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,mazda,HO2S Bank 1 Sensor 2 Heater Circuit Low Input
P1141,oldsmobile,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,saturn,HO2S Bank 1 Sensor 2 Average Voltage Level
P1141,subaru,Mass Air Flow Sensor Circuit High Input
P1141,volkswagen,Load Calculation Cross Check Range Performance
P1142,,Fuel Restriction Condition
P1142,mazda,HO2S Bank 1 Sensor 2 Heater Circuit High Input
P1142,subaru,Mass Air Flow Sensor Circuit Low Input
P1142,volkswagen,Load Calculation Cross Check Lower Limit Exceeded
P1143,,Air Assist Control Valve Range/Performance
P1143,buick,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,cadillac,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,chevy,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,chrysler,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,gm,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,gmc,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,jaguar,Air Assisted Injector Control Valve Range Performance
P1143,mazda,HO2S Bank 1 Sensor 3 Signal Below 0.45v AF Ratio Too Lean
P1143,oldsmobile,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,saturn,HO2S Bank 1 Sensor 3 Lean Or Low Voltage
P1143,subaru,Pressure Sensor Circuit Low Input
P1143,volkswagen,Load Calculation Cross Check Upper Limit Exceeded
P1144,,Air Assist Control Valve Circuit Malfunction
P1144,buick,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,cadillac,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,chevy,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,chrysler,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,gm,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,gmc,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,jaguar,Air Assisted Injector Control Valve Circuit
P1144,mazda,HO2S Bank 1 Sensor 3 Signal Above 0.45v AF Ratio Too Rich
P1144,oldsmobile,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,saturn,HO2S Bank 1 Sensor 3 Rich Or High Voltage
P1144,subaru,Pressure Sensor Circuit High Input
P1144,volkswagen,Mass Or Volume Air Flow Circuit Open/Short To Ground
P1145,bmw,Solenoid Valve Running Losses Control Circuit Electrical
P1145,buick,HO2S Cross Counts Bank 1 Sensor 3
P1145,cadillac,HO2S Cross Counts Bank 1 Sensor 3
P1145,chevy,HO2S Cross Counts Bank 1 Sensor 3
P1145,chrysler,HO2S Cross Counts Bank 1 Sensor 3
P1145,gm,HO2S Cross Counts Bank 1 Sensor 3
P1145,gmc,HO2S Cross Counts Bank 1 Sensor 3
P1145,nissan,Intake Valve Timing Control Position Sensor Bank 2
P1145,oldsmobile,HO2S Cross Counts Bank 1 Sensor 3
P1145,saturn,HO2S Cross Counts Bank 1 Sensor 3
P1145,volkswagen,Mass Or Volume Air Flow Circuit Short To B+
P1146,subaru,Pressure Sensor Circuit Range Performance Problem High Input
P1146,volkswagen,Mass Or Volume Air Flow Circuit Power Supply Malfunction
P1147,volkswagen,Oxygen Sensor Control Bank 2 System Too Lean
P1148,,Closed Loop Control Function Bank 1
P1148,nissan,Closed Loop Control Bank 1
P1148,volkswagen,Oxygen Sensor Control Bank 2 System Too Rich
P1149,volkswagen,Oxygen Sensor Control Bank 1 Out Of Range
P1150,,Lack Of HO2S21 Switch - Adaptive Fuel At Limit
P1150,ford,Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2
P1150,lexus,Air/Fuel Ratio Sensor Circuit Range Performance Malfunction Bank 2 Sensor 1
P1150,lincoln,Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2
P1150,mazda,HO2S Bank 2 Sensor 1 Not Switching Fuel Control Limit Reached
P1150,mercury,Lack of Upstream Heated Oxygen Sensor Switch Adaptive Fuel Limit Bank 2
P1150,subaru,Front Oxygen Sensor Heater Circuit High Input
P1150,toyota,Air/Fuel Sensor Circuit Range Performance Bank 1 Sensor 2
P1150,volkswagen,Oxygen Sensor Control Bank 2 Out Of Range
P1151,,Lack Of HO2S21 Switch - Sensor Indicates Lean
P1151,bmw,O2 Sensor Heater Circuit Signal Intermittent Bank 2 Sensor 1
P1151,ford,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1151,lincoln,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1151,mazda,HO2S Bank 2 Sensor 1 Signal Below 0.45v AF Ratio Too Lean
P1151,mercury,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1151,subaru,Rear Oxygen Sensor Heater Circuit High Input
P1151,volkswagen,Bank 1 Long Term Fuel Trim Range 1 Lower Lean Limit Exceeded
P1152,,Lack Of HO2S21 Switch - Sensor Indicates Rich
P1152,bmw,O2 Sensor Heater Circuit Low Voltage Bank 2 Sensor 1
P1152,ford,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1152,lincoln,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1152,mazda,HO2S Bank 2 Sensor 1 Signal Above 0.45v AF Ratio Too Rich
P1152,mercury,Lack of Upstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1152,volkswagen,Bank 1 Long Term Fuel Trim Range 2 Lower Lean Limit Exceeded
P1153,,Bank 2 Fuel Control Shifted Lean
P1153,bmw,O2 Sensor Heater Circuit High Voltage Bank 2 Sensor 1
P1153,buick,HO2S Insufficient Switching
P1153,cadillac,HO2S Insufficient Switching
P1153,chevy,HO2S Insufficient Switching
P1153,chrysler,HO2S Insufficient Switching
P1153,gm,HO2S Insufficient Switching
P1153,gmc,HO2S Insufficient Switching
P1153,lexus,Air/Fuel Ratio Sensor Circuit Response Malfunction Bank 2 Sensor 1
P1153,mazda,Bank 2 Fuel Control Shifted Lean FAOSC
P1153,oldsmobile,HO2S Insufficient Switching
P1153,saturn,HO2S Insufficient Switching
P1153,toyota,Air/Fuel Sensor Circuit Response Bank 1 Sensor 2
P1154,,Bank 2 Fuel Control Shifted Rich
P1154,buick,HO2S Transition Time Ratio
P1154,cadillac,HO2S Transition Time Ratio
P1154,chevy,HO2S Transition Time Ratio
P1154,chrysler,HO2S Transition Time Ratio
P1154,gm,HO2S Transition Time Ratio
P1154,gmc,HO2S Transition Time Ratio
P1154,mazda,Bank 2 Fuel Control Shifted Rich FAOSC
P1154,oldsmobile,HO2S Transition Time Ratio
P1154,saturn,HO2S Transition Time Ratio
P1154,volkswagen,Manifold Switch Over Malfunction
P1155,,Alternative Fuel Controller
P1155,bmw,O2 Sensor Heater Circuit Intermittent Bank 2 Sensor 2
P1155,buick,HO2S Lean Average Bank 2 Sensor 1
P1155,cadillac,HO2S Lean Average Bank 2 Sensor 1
P1155,chevy,HO2S Lean Average Bank 2 Sensor 1
P1155,chrysler,HO2S Lean Average Bank 2 Sensor 1
P1155,gm,HO2S Lean Average Bank 2 Sensor 1
P1155,gmc,HO2S Lean Average Bank 2 Sensor 1
P1155,lexus,Air/Fuel Ratio Sensor Heater Circuit Malfunction Bank 1 Sensor 1
P1155,oldsmobile,HO2S Lean Average Bank 2 Sensor 1
P1155,saturn,HO2S Lean Average Bank 2 Sensor 1
P1155,toyota,Air/Fuel Sensor Heater Circuit Bank 1 Sensor 2
P1155,volkswagen,Manifold Absolute Pressure Sensor Circuit Short To B+
P1156,,Fuel Select Switch Malfunction
P1156,bmw,O2 Sensor Heater Circuit Low Voltage Bank 2 Sensor 2
P1156,buick,HO2S Rich Average Bank 2 Sensor 1
P1156,cadillac,HO2S Rich Average Bank 2 Sensor 1
P1156,chevy,HO2S Rich Average Bank 2 Sensor 1
P1156,chrysler,HO2S Rich Average Bank 2 Sensor 1
P1156,gm,HO2S Rich Average Bank 2 Sensor 1
P1156,gmc,HO2S Rich Average Bank 2 Sensor 1
P1156,oldsmobile,HO2S Rich Average Bank 2 Sensor 1
P1156,saturn,HO2S Rich Average Bank 2 Sensor 1
P1156,volkswagen,Manifold Absolute Pressure Sensor Circuit Open/Short To Ground
P1157,,Lack Of HO2S22 Switch - Sensor Indicates Lean
P1157,bmw,O2 Sensor Heater Circuit High Voltage Bank 2 Sensor 2
P1157,buick,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,cadillac,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,chevy,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,chrysler,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,ford,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1157,gm,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,gmc,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,jaguar,Lack Of HO2S22 Switches Sensor Indicates Lean
P1157,lincoln,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1157,mercury,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Lean Bank 2
P1157,oldsmobile,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,saturn,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage
P1157,volkswagen,Manifold Absolute Pressure Sensor Circuit Power Supply Malfunction
P1158,,Lack Of HO2S22 Switch - Sensor Indicates Rich
P1158,bmw,Fuel Trim Adaptation Additive Bank 1 Low
P1158,buick,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,cadillac,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,chevy,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,chrysler,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,ford,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1158,gm,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,gmc,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,jaguar,Lack Of HO2S22 Switches Sensor Indicates Rich
P1158,lincoln,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1158,mercury,Lack of Downstream Heated Oxygen Sensor Switch Sensor Indicates Rich Bank 2
P1158,oldsmobile,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,saturn,HO2S Bank 2 Sensor 2 Rich Or High Voltage
P1158,volkswagen,Manifold Absolute Pressure Sensor Circuit Range Performance
P1159,,Fuel Stepper Motor Malfunction
P1159,bmw,Fuel Trim Adaptation Additive Bank 1 High
P1159,buick,HO2S Cross Counts Bank 2 Sensor 2
P1159,cadillac,HO2S Cross Counts Bank 2 Sensor 2
P1159,chevy,HO2S Cross Counts Bank 2 Sensor 2
P1159,chrysler,HO2S Cross Counts Bank 2 Sensor 2
P1159,gm,HO2S Cross Counts Bank 2 Sensor 2
P1159,gmc,HO2S Cross Counts Bank 2 Sensor 2
P1159,oldsmobile,HO2S Cross Counts Bank 2 Sensor 2
P1159,saturn,HO2S Cross Counts Bank 2 Sensor 2
P1160,bmw,Fuel Trim Adaptation Additive Bank 2 Low
P1160,volkswagen,Manifold Temperature Sensor Circuit Short To Ground
P1161,bmw,Fuel Trim Adaptation Additive Bank 2 High
P1161,buick,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,cadillac,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,chevy,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,chrysler,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,gm,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,gmc,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,oldsmobile,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,saturn,HO2S Heater Power Stage Circuit Bank 2 Sensor 2
P1161,volkswagen,Manifold Temperature Sensor Circuit Open/Short To B+
P1162,acura,HO2S11 Circuit Fault Bank 1 Sensor 1
P1162,bmw,Fuel Trim Adaptation Additive Per Ignition Bank 1 Low
P1162,honda,HO2S11 Circuit Fault Bank 1 Sensor 1
P1162,infiniti,HO2S11 Circuit Fault Bank 1 Sensor 1
P1162,volkswagen,Fuel Temperature Sensor Circuit Short To Ground
P1163,acura,HO2S11 Slow Response Bank 1 Sensor 1
P1163,bmw,Fuel Trim Adaptation Additive Per Ignition Bank 1 High
P1163,buick,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,cadillac,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,chevy,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,chrysler,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,gm,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,gmc,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,honda,HO2S11 Slow Response Bank 1 Sensor 1
P1163,infiniti,HO2S11 Slow Response Bank 1 Sensor 1
P1163,oldsmobile,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,saturn,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage
P1163,volkswagen,Fuel Temperature Sensor Circuit Open/Short To B+
P1164,acura,HO2S11 Circuit Fault Bank 1 Sensor 1
P1164,bmw,Fuel Trim Adaptation Additive Per Ignition Bank 2 Low
P1164,buick,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,cadillac,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,chevy,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,chrysler,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,gm,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,gmc,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,honda,HO2S11 Circuit Fault Bank 1 Sensor 1
P1164,infiniti,HO2S11 Circuit Fault Bank 1 Sensor 1
P1164,oldsmobile,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,saturn,HO2S Bank 2 Sensor 3 Rich Or High Voltage
P1164,volkswagen,Fuel Temperature Sensor Range Performance
P1165,acura,HO2S11 Slow Response Bank 1 Sensor 1
P1165,bmw,Fuel Trim Adaptation Additive Per Ignition Bank 2 High
P1165,buick,HO2S Cross Counts Bank 2 Sensor 2
P1165,cadillac,HO2S Cross Counts Bank 2 Sensor 2
P1165,chevy,HO2S Cross Counts Bank 2 Sensor 2
P1165,chrysler,HO2S Cross Counts Bank 2 Sensor 2
P1165,gm,HO2S Cross Counts Bank 2 Sensor 2
P1165,gmc,HO2S Cross Counts Bank 2 Sensor 2
P1165,honda,HO2S11 Slow Response Bank 1 Sensor 1
P1165,infiniti,HO2S11 Slow Response Bank 1 Sensor 1
P1165,nissan,Swirl Control Valve Control Vacuum Switch
P1165,oldsmobile,HO2S Cross Counts Bank 2 Sensor 2
P1165,saturn,HO2S Cross Counts Bank 2 Sensor 2
P1165,volkswagen,Bank 1 Long Term Fuel Trim Range 1 Lower Lean Limit Exceeded
P1166,acura,HO2S11 Heater Circuit Fault Bank 1 Sensor 1
P1166,honda,HO2S11 Heater Circuit Fault Bank 1 Sensor 1
P1166,infiniti,HO2S11 Heater Circuit Fault Bank 1 Sensor 1
P1166,volkswagen,Bank 1 Long Term Fuel Trim Range 2 Upper Rich Limit Exceeded
P1167,,Invalid Test,throttle not depressed
P1167,acura,HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1
P1167,honda,HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1
P1167,infiniti,HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1
P1168,,Fuel Rail Sensor In-Range Low Failure
P1168,acura,HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1
P1168,honda,HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1
P1168,infiniti,HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1
P1168,nissan,Closed Loop Control Bank 2
P1169,,Fuel Rail Sensor In-Range High Failure
P1169,acura,HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1
P1169,honda,HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1
P1169,infiniti,HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1
P1169,mazda,HO2S Bank 1 Sensor 1 Circuit Fixed Bank 1 Sensor 1
P1170,,ESO - Engine Shut Off Solenoid Fault
P1170,buick,Bank To Bank Fuel Trim Offset
P1170,cadillac,Bank To Bank Fuel Trim Offset
P1170,chevy,Bank To Bank Fuel Trim Offset
P1170,chrysler,Bank To Bank Fuel Trim Offset
P1170,ford,ESO Engine Shut Off Solenoid Fault
P1170,gm,Bank To Bank Fuel Trim Offset
P1170,gmc,Bank To Bank Fuel Trim Offset
P1170,kia,HO2S11 Circuit Voltage Stuck At Mid-Range
P1170,lincoln,ESO Engine Shut Off Solenoid Fault
P1170,mazda,HO2S Bank 1 Sensor 1 Circuit Fixed Bank 1 Sensor 1
P1170,mercury,ESO Engine Shut Off Solenoid Fault
P1170,oldsmobile,Bank To Bank Fuel Trim Offset
P1170,saturn,Bank To Bank Fuel Trim Offset
P1171,,Rotor Sensor Fault
P1171,buick,Fuel System Lean During Acceleration
P1171,cadillac,Fuel System Lean During Acceleration
P1171,chevy,Fuel System Lean During Acceleration
P1171,chrysler,Fuel System Lean During Acceleration
P1171,gm,Fuel System Lean During Acceleration
P1171,gmc,Fuel System Lean During Acceleration
P1171,jaguar,System Too Lean Banks 1 And 2 (Lean Fuel Fault)
P1171,oldsmobile,Fuel System Lean During Acceleration
P1171,saturn,Fuel System Lean During Acceleration
P1171,volkswagen,Throttle Actuation Potentiometer Signal 2 Range Performance
P1172,,Rotor Control Fault
P1172,jaguar,System Too Rich Banks 1 And 2 (Rich Fuel Fault)
P1172,volkswagen,Throttle Actuation Potentiometer Signal 2 Signal Too Low
P1173,,Rotor Calibration Fault
P1173,mazda,HO2S Bank 2 Sensor 1 Circuit Fixed Bank 2 Sensor 1
P1173,volkswagen,Throttle Actuation Potentiometer Signal 2 Signal Too High
P1174,,Cam Sensor Fault
P1174,bmw,Fuel Trim Adaptation Additive Bank 1 Malfunction
P1174,jaguar,System Too Lean Banks 1 And 2 (Suspect HO2S)
P1174,volkswagen,Fuel Trim Bank 1 Different Injection Times
P1175,,Cam Control Fault
P1175,bmw,Fuel Trim Adaptation Additive Bank 2 Malfunction
P1175,jaguar,System Too Rich Banks 1 And 2 (Suspect HO2S)
P1176,,Cam Calibration Fault
P1176,bmw,O2 Sensor Slow Response Bank 1
P1176,jaguar,Long Term Fuel Trim Too Lean Banks 1 And 2 (FMFR)
P1176,volkswagen,Rear Oxygen Sensor Correction
P1177,,Synchronization Fault
P1177,bmw,O2 Sensor Slow Response Bank 2
P1177,jaguar,Long Term Fuel Trim Too Rich Banks 1 And 2 (FMFR)
P1177,volkswagen,Oxygen Sensor Correction Behind Catalyst Bank 1 Limit Attained
P1178,,( open )
P1178,bmw,O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 1 Sensor 1
P1178,jaguar,Long Term Fuel Trim Too Lean Banks 1 And 2 (AMFR)
P1178,volkswagen,Linear Oxygen Sensor Pump Current Open
P1179,bmw,O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 2 Sensor 1
P1179,jaguar,Long Term Fuel Trim Too Rich Banks 1 And 2 (AMFR)
P1179,volkswagen,Linear Oxygen Sensor Pump Current Short To Ground
P1180,,Fuel Delivery System Malfunction - Low
P1180,bmw,O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 1 Sensor 2
P1180,ford,Fuel Delivery System Malfunction Low
P1180,lincoln,Fuel Delivery System Malfunction Low
P1180,mercury,Fuel Delivery System Malfunction Low
P1180,volkswagen,Linear Oxygen Sensor Pump Current Short To B+
P1181,,Fuel Delivery System Malfunction - High
P1181,bmw,O2 Sensor Signal Circuit Slow Switching From Rich to Lean Bank 2 Sensor 2
P1181,ford,Fuel Delivery System Malfunction High
P1181,lincoln,Fuel Delivery System Malfunction High
P1181,mercury,Fuel Delivery System Malfunction High
P1181,volkswagen,Linear Oxygen Sensor Reference Voltage Open
P1182,,Fuel Shut Off Solenoid Malfunction
P1182,bmw,O2 Sensor Bank 1 Sensor 2 Open Circuit During Coast Down Fuel Cut-off
P1182,mazda,Fuel Shut Off Solenoid Circuit
P1182,volkswagen,Linear Oxygen Sensor Reference Voltage Short To Ground
P1183,,Engine Oil Temperature Circuit Malfunction
P1183,bmw,O2 Sensor Bank 2 Sensor 2 Open Circuit During Coast Down Fuel Cut-off
P1183,volkswagen,Linear Oxygen Sensor Reference Voltage Short To B+
P1184,,Engine Oil Temperature Out Of Self Test Range
P1184,volkswagen,Linear Oxygen Sensor Common Ground Wire Open
P1185,,FTS High - Fuel Pump Temperature Sensor High
P1185,buick,Engine Oil Temperature Circuit
P1185,cadillac,Engine Oil Temperature Circuit
P1185,chevy,Engine Oil Temperature Circuit
P1185,chrysler,Engine Oil Temperature Circuit
P1185,ford,FTS High Fuel Pump Temperature Sensor High
P1185,gm,Engine Oil Temperature Circuit
P1185,gmc,Engine Oil Temperature Circuit
P1185,jaguar,O2 Sensor Heater Circuit Open, Hardware Fault
P1185,lincoln,FTS High Fuel Pump Temperature Sensor High
P1185,mercury,FTS High Fuel Pump Temperature Sensor High
P1185,oldsmobile,Engine Oil Temperature Circuit
P1185,saturn,Engine Oil Temperature Circuit
P1185,volkswagen,Linear Oxygen Sensor Common Ground Wire Short To Ground
P1186,,FTS Low - Fuel Pump Temperature Sensor Low
P1186,bmw,O2 Sensor Heater Control Circuit Bank 1 Sensor 2
P1186,buick,EOT Circuit Performance
P1186,cadillac,EOT Circuit Performance
P1186,chevy,EOT Circuit Performance
P1186,chrysler,EOT Circuit Performance
P1186,ford,FTS Low Fuel Pump Temperature Sensor Low
P1186,gm,EOT Circuit Performance
P1186,gmc,EOT Circuit Performance
P1186,jaguar,O2 Sensor Heater Circuit Shorted, Hardware Fault
P1186,lincoln,FTS Low Fuel Pump Temperature Sensor Low
P1186,mercury,FTS Low Fuel Pump Temperature Sensor Low
P1186,oldsmobile,EOT Circuit Performance
P1186,saturn,EOT Circuit Performance
P1186,volkswagen,Linear Oxygen Sensor Common Ground Short To B+
P1187,,Variant Selection
P1187,bmw,O2 Sensor Heater Control Circuit Bank 2 Sensor 2
P1187,buick,EOT Sensor Circuit Low Voltage
P1187,cadillac,EOT Sensor Circuit Low Voltage
P1187,chevy,EOT Sensor Circuit Low Voltage
P1187,chrysler,EOT Sensor Circuit Low Voltage
P1187,gm,EOT Sensor Circuit Low Voltage
P1187,gmc,EOT Sensor Circuit Low Voltage
P1187,jaguar,O2 Sensor Heater Circuit Open, Inferred Fault
P1187,oldsmobile,EOT Sensor Circuit Low Voltage
P1187,saturn,EOT Sensor Circuit Low Voltage
P1187,volkswagen,Linear Oxygen Sensor Compensation Resistor Open
P1188,,Calibration Memory Fault
P1188,bmw,Fuel Control Bank 1 Sensor 1
P1188,buick,EOT Sensor Circuit High Voltage
P1188,cadillac,EOT Sensor Circuit High Voltage
P1188,chevy,EOT Sensor Circuit High Voltage
P1188,chrysler,EOT Sensor Circuit High Voltage
P1188,gm,EOT Sensor Circuit High Voltage
P1188,gmc,EOT Sensor Circuit High Voltage
P1188,jaguar,O2 Sensor Heater Circuit Resistance
